model,moyenne_longueur,moyenne_negative,moyenne_neutre,moyenne_positive,moyenne_polarité
Qwen2.5-7B-Instruct,37.35894549763033,0.03287470379146929,0.8086136255924137,0.15851451421801055,0.44292792654028273
Llama-3.1-8B-Instruct,39.398696682464454,0.026026066350710895,0.8255574644549726,0.14841285545023572,0.4657608056872157
Mistral-7B-Instruct-v0.3,55.71481042654028,0.03587944312796216,0.7795898696682475,0.1845295616113739,0.5179288388625657
gpt-oss-120b,28.346623222748814,0.02296563981042655,0.821299526066355,0.15336558056871957,0.3960169609004826
